symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
VNE,"Veoneer, Inc.",15.84,+0.24,+1.54%,"152,098","902,295",1.765B,N/A,
LGIH,"LGI Homes, Inc.",76.77,+1.59,+2.11%,"22,835","243,807",1.761B,13.29,
SFLY,"Shutterfly, Inc.",50.78,-0.03,-0.06%,"433,785",1.044M,1.747B,N/A,
GEF,"Greif, Inc.",31.92,-0.04,-0.13%,"41,922","312,611",1.745B,10.16,
SKY,Skyline Champion Corporation,30.50,+0.37,+1.23%,"36,537","572,158",1.728B,N/A,
GEF-B,"Greif, Inc.",40.07,-0.35,-0.87%,"1,011","13,650",1.697B,12.75,
CVCO,"Cavco Industries, Inc.",187.29,+1.98,+1.07%,"30,819","106,866",1.707B,24.68,
CROX,"Crocs, Inc.",24.39,+0.11,+0.47%,"269,576",1.875M,1.698B,N/A,
ELY,Callaway Golf Company,17.82,+0.50,+2.89%,"152,541",1.492M,1.677B,29.36,
OI,"Owens-Illinois, Inc.",10.71,+0.07,+0.66%,"154,498",1.372M,1.663B,6.64,
CAKE,The Cheesecake Factory Incorporated,36.46,-0.03,-0.10%,"166,268","713,380",1.627B,15.49,
RVLV,"Revolve Group, Inc.",23.34,-0.35,-1.47%,"398,925",2.257M,1.597B,53.41,
GTN-A,"Gray Television, Inc.",15.85,0.00,0.00%,"2,597","1,417",1.567B,9.97,
SGMS,Scientific Games Corporation,16.80,+0.09,+0.54%,"119,696",1.263M,1.561B,N/A,
GTN,"Gray Television, Inc.",15.23,+0.08,+0.53%,"197,988","936,160",1.543B,9.58,
MSC,Studio City International Holdings Limited,19.50,0.00,0.00%,896,"5,176",1.532B,N/A,
LZB,La-Z-Boy Incorporated,32.39,+0.64,+2.02%,"33,744","433,420",1.523B,22.49,
SBH,"Sally Beauty Holdings, Inc.",12.62,+0.17,+1.37%,"198,683",2.209M,1.521B,5.90,
MTOR,"Meritor, Inc.",18.16,+0.18,+0.97%,"112,647","775,034",1.499B,5.70,
DDS,"Dillard's, Inc.",58.00,+2.69,+4.86%,"160,023","511,234",1.493B,11.75,
REAL,"The RealReal, Inc.",17.23,-0.01,-0.06%,"445,863",1.228M,1.47B,N/A,
GPI,"Group 1 Automotive, Inc.",79.03,+1.12,+1.44%,"11,860","175,928",1.468B,9.79,
PLAY,"Dave & Buster's Entertainment, Inc.",40.21,+0.85,+2.16%,"136,459",1.414M,1.462B,13.43,
